,Senate District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
0,1,0.12095365722970104,0.11396336513688074,0.048513867751288485,0.044968454916573176,0.05779314369589633,0.07308039946209288
1,10,0.13508318038138695,0.12623063931994058,0.04206606058258201,0.04099077262633063,0.06553399939542848,0.0255618886427559
2,11,0.17514573550498266,0.16989241827625817,0.06586815935680479,0.06505790588308935,0.02999397737877004,0.012301140363226683
3,12,0.19422613303325653,0.1761764185691512,0.05629644928903877,0.04620921572886732,0.09293144121349908,0.17918063550298352
4,13,0.12431228479584307,0.12078146246803766,0.04522079254095915,0.04309533041599734,0.028402843159097656,0.04700187691395832
5,14,0.2134408688786116,0.18662681083519989,0.08698253218814961,0.06762532832718307,0.1256275716281002,0.22254127781765978
6,15,0.17241496757169542,0.16272860251754068,0.060227195319138255,0.05662942819344407,0.0561805346170242,0.05973658754371602
7,16,0.20762763341774693,0.1818818821172526,0.06627916363929927,0.06254678213379043,0.12399963760456618,0.05631304471222649
8,17,0.1448232126565942,0.13449161122360428,0.052283827685187245,0.049979417458445516,0.071339402320043,0.044075009974730704
9,18,0.2965777327479455,0.27121962202398114,0.08117450982007288,0.07234015095976694,0.08550240939873811,0.10883168718711958
10,19,0.23181042221069048,0.21241639696391065,0.05531713141305935,0.04765897044134886,0.0836633015108905,0.13844103582534176
11,2,0.1588228550695119,0.14965847838402455,0.06239767429177532,0.05878267605586775,0.05770187597670622,0.05793482332376077
12,20,0.2288938431659079,0.2053618599771437,0.0609401052887948,0.04883751428517901,0.1028074100346493,0.19859813084112152
13,21,0.25031647914790717,0.22661125193770512,0.088724814909188,0.07912130973131504,0.09470102524171045,0.10823922470508826
14,22,0.2857730530235781,0.26429617899079005,0.07907605417727313,0.07257350295434604,0.0751536011025366,0.08223160968995283
15,23,0.18460528729633677,0.16383873073894759,0.06332859700118389,0.05446819953669784,0.11249166728390485,0.13991147576379132
16,24,0.3365906690431396,0.3185175099844869,0.09533122091296167,0.08665461926923458,0.0536947714861826,0.09101532069592304
17,25,0.19491343930248983,0.1897035293536211,0.060786058033866476,0.05468963969251235,0.026729352103747904,0.10029303657028645
18,26,0.12843120380030373,0.12680949420224183,0.0510118414073395,0.04798621137023337,0.012627068423211877,0.05931230776293448
19,27,0.170931655518339,0.16198266785453957,0.0583381687748452,0.054228690680782086,0.05235418586839405,0.07044235670001138
20,28,0.181360420908909,0.1641364265900807,0.06365894137172047,0.05622241316399675,0.09497107600714767,0.11681828267139993
21,29,0.17873980095447672,0.16068624521176886,0.06094523984170538,0.059615854818115134,0.10100467633006893,0.021812778603268915
22,3,0.1505029809535534,0.14335506762104078,0.06644272875960676,0.06251868591829197,0.04749350004382003,0.059059025939650595
23,30,0.3776497055075688,0.3565371508739307,0.11790281542235485,0.10705806419478422,0.055905126697404536,0.09198042632588754
24,31,0.19018588701651962,0.1681379785046109,0.05444026570689312,0.04834803954090095,0.11592820507230184,0.11190662071329283
25,32,0.23283455978052037,0.2152827990265549,0.06215422246278308,0.054703607448755714,0.07538297051138156,0.11987303064548299
26,33,0.3480706447960055,0.30934050288393405,0.08838546046924356,0.07725102477335788,0.11127092298969976,0.12597587472840344
27,34,0.2678506644925,0.24392329396502105,0.06906568521502585,0.0647968320751113,0.08933101051966565,0.06180859752023158
28,35,0.2694020821696447,0.24296273241997085,0.06901128889640062,0.06349463174535779,0.09814085153590146,0.0799384744041575
29,36,0.16018275943114713,0.1422575195070959,0.04986999371195332,0.039972780510254685,0.11190492652086076,0.1984602857354356
30,37,0.17850892595209916,0.16175822397181386,0.07077970030535961,0.06721379942223012,0.09383677533738657,0.050380276657648944
31,38,0.19975092997253766,0.18410880703940982,0.0600939517191993,0.05334704262167919,0.07830813571320223,0.11227268143467005
32,39,0.16809683333710587,0.15877792616401457,0.07554267864822653,0.069735620996401,0.05543773186020061,0.07687121711511956
33,4,0.17155154290211025,0.1549131966879536,0.06460920668658421,0.060034215992794196,0.09698744722832783,0.07081019762373877
34,40,0.2698114493190955,0.25028118448799647,0.0818970285148946,0.06922226715667838,0.07238486313455644,0.1547646060920398
35,5,0.17561108665869035,0.15681302990289978,0.048960289957494116,0.04040538669609223,0.10704367881012898,0.17473146643594237
36,6,0.20391469579013394,0.18633976558560553,0.07789789568190483,0.07108807143120688,0.08618765869928412,0.08741987432504973
37,7,0.1417463640302962,0.13554654997385804,0.04548903767086362,0.039705257076129034,0.04373878722640842,0.12714669051878355
38,8,0.1771242927876906,0.1539644803918613,0.0524769119675899,0.048264862404945354,0.13075457934835463,0.08026481370027899
39,9,0.22892213022575839,0.21462158058983946,0.07895129888385954,0.07287244510669404,0.06246905714976534,0.07699498124923493
